record_name;target_label;original_abstract;year;url;processed_title;processed_abstract
LiveGantt: Interactively Visualizing a Large Manufacturing Schedule;['simplification'];In this paper, we introduce LiveGantt as a novel interactive schedule visualization tool that helps users explore highly-concurrent large schedules from various perspectives. Although a Gantt chart is the most common approach to illustrate schedules, currently available Gantt chart visualization tools suffer from limited scalability and lack of interactions. LiveGantt is built with newly designed algorithms and interactions to improve conventional charts with better scalability, explorability, and reschedulability. It employs resource reordering and task aggregation to display the schedules in a scalable way. LiveGantt provides four coordinated views and filtering techniques to help users explore and interact with the schedules in more flexible ways. In addition, LiveGantt is equipped with an efficient rescheduler to allow users to instantaneously modify their schedules based on their scheduling experience in the fields. To assess the usefulness of the application of LiveGantt, we conducted a case study on manufacturing schedule data with four industrial engineering researchers. Participants not only grasped an overview of a schedule but also explored the schedule from multiple perspectives to make enhancements.;2014;http://dx.doi.org/10.1109/TVCG.2014.2346454;livegantt interactively large manufacturing schedule;livegantt interactive schedule tool helps users explore highlyconcurrent large schedules various perspectives although gantt chart illustrate schedules currently available gantt chart tools suffer limited scalability lack interactions livegantt built designed algorithms interactions improve conventional charts scalability explorability reschedulability employs resource reordering task aggregation display schedules scalable way livegantt provides four coordinated views filtering techniques help users explore interact schedules flexible ways addition livegantt equipped efficient rescheduler allow users instantaneously modify schedules based scheduling experience fields assess usefulness application livegantt conducted case manufacturing schedule four industrial engineering researchers participants grasped overview schedule explored schedule multiple perspectives make enhancements
Decomposition and Simplification of Multivariate Data using Pareto Sets;['simplification'];"Topological and structural analysis of multivariate data is aimed at improving the understanding and usage of such data through identification of intrinsic features and structural relationships among multiple variables. We present two novel methods for simplifying so-called Pareto sets that describe such structural relationships. Such simplification is a precondition for meaningful visualization of structurally rich or noisy data. As a framework for simplification operations, we introduce a decomposition of the data domain into regions of equivalent structural behavior and the reachability graph that describes global connectivity of Pareto extrema. Simplification is then performed as a sequence of edge collapses in this graph; to determine a suitable sequence of such operations, we describe and utilize a comparison measure that reflects the changes to the data that each operation represents. We demonstrate and evaluate our methods on synthetic and real-world examples.";2014;http://dx.doi.org/10.1109/TVCG.2014.2346447;decomposition simplification multivariate pareto sets;topological structural analysis multivariate aimed improving understanding usage identification intrinsic features structural relationships among multiple variables two methods simplifying socalled pareto sets structural relationships simplification precondition meaningful structurally rich noisy framework simplification operations decomposition domain regions equivalent structural behavior reachability graph describes global connectivity pareto extrema simplification performed sequence edge collapses graph determine suitable sequence operations utilize comparison measure reflects changes operation represents demonstrate evaluate methods synthetic realworld examples
Temporal Event Sequence Simplification;['simplification'];Electronic Health Records (EHRs) have emerged as a cost-effective data source for conducting medical research. The difficulty in using EHRs for research purposes, however, is that both patient selection and record analysis must be conducted across very large, and typically very noisy datasets. Our previous work introduced EventFlow, a visualization tool that transforms an entire dataset of temporal event records into an aggregated display, allowing researchers to analyze population-level patterns and trends. As datasets become larger and more varied, however, it becomes increasingly difficult to provide a succinct, summarizing display. This paper presents a series of user-driven data simplifications that allow researchers to pare event records down to their core elements. Furthermore, we present a novel metric for measuring visual complexity, and a language for codifying disjoint strategies into an overarching simplification framework. These simplifications were used by real-world researchers to gain new and valuable insights from initially overwhelming datasets.;2013;http://dx.doi.org/10.1109/TVCG.2013.200;temporal event sequence simplification;electronic health records ehrs emerged costeffective source conducting medical research difficulty ehrs research purposes however patient selection record analysis must conducted across large typically noisy datasets introduced eventflow tool transforms entire dataset temporal event records aggregated display allowing researchers analyze populationlevel patterns trends datasets become larger varied however increasingly difficult provide succinct summarizing display presents series userdriven simplifications allow researchers pare event records core elements furthermore metric measuring complexity language codifying disjoint strategies overarching simplification framework simplifications realworld researchers gain valuable insights initially overwhelming datasets
Efficient Computation of Morse-Smale Complexes for Three-dimensional Scalar Functions;['multi-resolution', 'simplification', 'feature detection'];The Morse-Smale complex is an efficient representation of the gradient behavior of a scalar function, and critical points paired by the complex identify topological features and their importance. We present an algorithm that constructs the Morse-Smale complex in a series of sweeps through the data, identifying various components of the complex in a consistent manner. All components of the complex, both geometric and topological, are computed, providing a complete decomposition of the domain. Efficiency is maintained by representing the geometry of the complex in terms of point sets.;2007;http://dx.doi.org/10.1109/TVCG.2007.70552;efficient computation morsesmale complexes threedimensional scalar functions;morsesmale complex efficient representation gradient behavior scalar function critical points paired complex identify topological features importance algorithm constructs morsesmale complex series sweeps identifying various components complex consistent manner components complex geometric topological computed providing complete decomposition domain efficiency maintained representing geometry complex terms point sets
Topology-based simplification for feature extraction from 3D scalar fields;['multi-resolution', 'simplification', 'feature detection'];In this paper, we present a topological approach for simplifying continuous functions defined on volumetric domains. We introduce two atomic operations that remove pairs of critical points of the function and design a combinatorial algorithm that simplifies the Morse-Smale complex by repeated application of these operations. The Morse-Smale complex is a topological data structure that provides a compact representation of gradient flow between critical points of a function. Critical points paired by the Morse-Smale complex identify topological features and their importance. The simplification procedure leaves important critical points untouched, and is therefore useful for extracting desirable features. We also present a visualization of the simplified topology.;2005;http://dx.doi.org/10.1109/VISUAL.2005.1532839;topologybased simplification feature extraction scalar fields;topological simplifying continuous functions defined volumetric domains two atomic operations remove pairs critical points function design combinatorial algorithm simplifies morsesmale complex repeated application operations morsesmale complex topological structure provides compact representation gradient flow critical points function critical points paired morsesmale complex identify topological features importance simplification procedure leaves important critical points untouched therefore useful extracting desirable features simplified topology
Centroidal Voronoi tessellation based algorithms for vector fields visualization and segmentation;['flowvisualization', 'simplification'];A new method for the simplification and the visualization of vector fields is presented based on the notion of centroidal Voronoi tessellations (CVT's). A CVT is a special Voronoi tessellation for which the generators of the Voronoi regions in the tessellation are also the centers of mass (or means) with respect to a prescribed density. A distance function in both the spatial and vector spaces is introduced to measure the similarity of the spatially distributed vector fields. Based on such a distance, vector fields are naturally clustered and their simplified representations are obtained. Our method combines simple geometric intuitions with the rigorously established optimality properties of the CVTs. It is simple to describe, easy to understand and implement. Numerical examples are also provided to illustrate the effectiveness and competitiveness of the CVT-based vector simplification and visualization methodology.;2004;http://dx.doi.org/10.1109/VISUAL.2004.13;centroidal voronoi tessellation based algorithms vector fields segmentation;method simplification vector fields presented based notion centroidal voronoi tessellations cvts cvt special voronoi tessellation generators voronoi regions tessellation centers mass means respect prescribed density distance function spatial vector spaces introduced measure similarity spatially distributed vector fields based distance vector fields naturally clustered simplified representations obtained method combines simple geometric intuitions rigorously established optimality properties cvts simple easy implement numerical examples illustrate effectiveness competitiveness cvtbased vector simplification methodology
Appearance-preserving view-dependent visualization;['level-of-detail', 'mesh simplification', 'multi-resolution model'];In this paper a new quadric-based view- dependent simplification scheme is presented. The scheme provides a method to connect mesh simplification controlled by a quadric error metric with a level- of-detail hierarchy that is accessed continuously and efficiently based on current view parameters. A variety of methods for determining the screen-space metric for the view calculation are implemented and evaluated, including an appearance-preserving method that has both geometry- and texture-preserving aspects. Results are presented and compared for a variety of models.;2003;http://dx.doi.org/10.1109/VISUAL.2003.1250409;appearancepreserving viewdependent;quadricbased view dependent simplification scheme presented scheme provides method connect mesh simplification controlled quadric error metric level ofdetail hierarchy accessed continuously efficiently based current view parameters variety methods determining screenspace metric view calculation implemented evaluated including appearancepreserving method geometry texturepreserving aspects results presented compared variety models
Visibility based methods and assessment for detail-recovery;['simplification'];"In this paper we propose a new method for the creation of normal maps for recovering the detail on simplified meshes and a set of objective techniques to metrically evaluate the quality of different recovering techniques. The proposed techniques, that automatically produces a normal-map texture for a simple 3D model that \""imitates\"" the high frequency detail originally present in a second, much higher resolution one, is based on the computation of per-texel visibility and self-occlusion information. This information is used to define a point-to-point correspondence between simplified and hires meshes. Moreover, we introduce a number of criteria for measuring the quality (visual or otherwise) of a given mapping method, and provide efficient algorithms to implement them. Lastly, we apply them to rate different mapping methods, including the widely used ones and the new one proposed here.";2003;http://dx.doi.org/10.1109/VISUAL.2003.1250407;visibility based methods assessment detailrecovery;propose method creation normal maps recovering detail simplified meshes set objective techniques metrically evaluate quality different recovering techniques proposed techniques automatically produces normalmap texture simple model imitates high frequency detail originally second higher resolution one based computation pertexel visibility selfocclusion information information define pointtopoint correspondence simplified hires meshes moreover number criteria measuring quality otherwise mapping method provide efficient algorithms implement lastly rate different mapping methods including widely ones one proposed
A multi-resolution data structure for two-dimensional Morse-Smale functions;['simplification'];We combine topological and geometric methods to construct a multi-resolution data structure for functions over two-dimensional domains. Starting with the Morse- Smale complex, we construct a topological hierarchy by progressively canceling critical points in pairs. Concurrently, we create a geometric hierarchy by adapting the geometry to the changes in topology. The data structure supports mesh traversal operations similarly to traditional multi-resolution representations.;2003;http://dx.doi.org/10.1109/VISUAL.2003.1250365;multiresolution structure twodimensional morsesmale functions;combine topological geometric methods construct multiresolution structure functions twodimensional domains starting morse smale complex construct topological hierarchy progressively canceling critical points pairs concurrently create geometric hierarchy adapting geometry changes topology structure supports mesh traversal operations similarly traditional multiresolution representations
Immersive volume visualization of seismic simulations: A case study of techniques invented and lessons learned;['level-of-detail', 'multi-resolution', 'mesh simplification'];"This paper is a documentation of techniques invented, results obtained and lessons learned while creating visualization algorithms to render outputs of large-scale seismic simulations. The objective is the development of techniques for a collaborative simulation and visualization shared between structural engineers, seismologists, and computer scientists. The computer graphics research community has been witnessing a large number of exemplary publications addressing the challenges faced while trying to visualize both large-scale surface and volumetric datasets lately. From a visualization perspective, issues like data preprocessing (simplification, sampling, filtering, etc.); rendering algorithms (surface and volume), and interaction paradigms (large-scale, highly interactive, highly immersive, etc.) have been areas of study. In this light, we outline and describe the milestones achieved in a large-scale simulation and visualization project, which opened the scope for combining existing techniques with new methods, especially in those cases where no existing methods were suitable. We elucidate the data simplification and reorganization schemes that we used, and discuss the problems we encountered and the solutions we found. We describe both desktop (high-end local as well as remote) interfaces and immersive visualization systems that we developed to employ interactive surface and volume rendering algorithms. Finally, we describe the results obtained, challenges that still need to be addressed, and ongoing efforts to meet the challenges of large-scale visualization.";2002;http://dx.doi.org/10.1109/VISUAL.2002.1183814;immersive volume seismic simulations case techniques invented lessons learned;documentation techniques invented results obtained lessons learned creating algorithms render outputs largescale seismic simulations objective development techniques collaborative simulation shared structural engineers seismologists computer scientists computer graphics research community witnessing large number exemplary publications addressing challenges faced trying visualize largescale surface volumetric datasets lately perspective issues like preprocessing simplification sampling filtering etc rendering algorithms surface volume interaction paradigms largescale highly interactive highly immersive etc light outline milestones achieved largescale simulation project opened scope combining techniques methods especially cases methods suitable elucidate simplification reorganization schemes discuss problems encountered solutions found desktop highend local well remote interfaces immersive systems employ interactive surface volume rendering algorithms finally results obtained challenges still need addressed ongoing efforts meet challenges largescale
Visibility-guided simplification;['visualization', 'mesh simplification'];For some graphics applications, object interiors and hard-to-see regions contribute little to the final images and need not be processed. In this paper, we define a view-independent visibility measure on mesh surfaces based on the visibility function between the surfaces and a surrounding sphere of cameras. We demonstrate the usefulness of this measure with a visibility-guided simplification algorithm. Mesh simplification reduces the polygon counts of 3D models and speeds up the rendering process. Many mesh simplification algorithms are based on sequences of edge collapses that minimize geometric and attribute errors. By combining the surface visibility measure with a geometric error measure, we obtain simplified models with improvement proportional to the number of low visibility regions in the original models.;2002;http://dx.doi.org/10.1109/VISUAL.2002.1183784;visibilityguided simplification;graphics applications object interiors hardtosee regions contribute little final images need processed define viewindependent visibility measure mesh surfaces based visibility function surfaces surrounding sphere cameras demonstrate usefulness measure visibilityguided simplification algorithm mesh simplification reduces polygon counts models speeds rendering process mesh simplification algorithms based sequences edge collapses minimize geometric attribute errors combining surface visibility measure geometric error measure obtain simplified models improvement proportional number low visibility regions original models
TetFusion: an algorithm for rapid tetrahedral mesh simplification;['level-of-detail', 'multi-resolution', 'mesh simplification'];This paper introduces an algorithm for rapid progressive simplification of tetrahedral meshes: TetFusion. We describe how a simple geometry decimation operation steers a rapid and controlled progressive simplification of tetrahedral meshes, while also taking care of complex mesh- inconsistency problems. The algorithm features a high decimation ratio per step, and inherently discourages any cases of self-intersection of boundary, element-boundary intersection at concave boundary-regions, and negative volume tetrahedra (flipping). We achieved rigorous reduction ratios of up to 98% for meshes consisting of 827,904 elements in less than 2 minutes, progressing through a series of level-of-details (LoDs) of the mesh in a controlled manner. We describe how the approach supports a balanced re-distribution of space between tetrahedral elements, and explain some useful control parameters that make it faster and more intuitive than 'edge collapse'-based decimation methods for volumetric meshes. Finally, we discuss how this approach can be employed for rapid LoD prototyping of large time-varying datasets as an aid to interactive visualization.;2002;http://dx.doi.org/10.1109/VISUAL.2002.1183767;tetfusion algorithm rapid tetrahedral mesh simplification;introduces algorithm rapid progressive simplification tetrahedral meshes tetfusion simple geometry decimation operation steers rapid controlled progressive simplification tetrahedral meshes taking care complex mesh inconsistency problems algorithm features high decimation ratio per step inherently discourages cases selfintersection boundary elementboundary intersection concave boundaryregions negative volume tetrahedra flipping achieved rigorous reduction ratios % meshes consisting elements less minutes progressing series levelofdetails lods mesh controlled manner supports balanced redistribution space tetrahedral elements explain useful control parameters make faster intuitive edge collapsebased decimation methods volumetric meshes finally discuss employed rapid lod prototyping large timevarying datasets aid interactive
Fast visualization of plane-like structures in voxel data;['visualization'];We present a robust, noise-resistant criterion characterizing plane-like skeletons in binary voxel objects. It is based on a distance map and the geodesic distance along the object's boundary. A parameter allows us to control the noise sensitivity. If needed, homotopy with the original object might be reconstructed in a second step, using an improved distance ordered thinning algorithm. The skeleton is analyzed to create a geometric representation for rendering. Plane-like parts are transformed into an triangulated surface not enclosing a volume by a suitable triangulation scheme. The resulting surfaces have lower triangle count than those created with standard methods and tend to maintain the original geometry, even after simplification with a high decimation rate. Our algorithm allows us to interactively render expressive images of complex 3D structures, emphasizing independently plane-like and rod-like structures. The methods are applied for visualization of the microstructure of bone biopsies.;2002;http://dx.doi.org/10.1109/VISUAL.2002.1183753;fast planelike structures voxel;robust noiseresistant criterion characterizing planelike skeletons binary voxel objects based distance map geodesic distance along objects boundary parameter allows control noise sensitivity needed homotopy original object might reconstructed second step improved distance ordered thinning algorithm skeleton analyzed create geometric representation rendering planelike parts transformed triangulated surface enclosing volume suitable triangulation scheme resulting surfaces lower triangle count created standard methods tend maintain original geometry even simplification high decimation rate algorithm allows interactively render expressive images complex structures emphasizing independently planelike rodlike structures methods applied microstructure bone biopsies
Hybrid simplification: combining multi-resolution polygon and point rendering;['multi-resolution', 'simplification'];Multi-resolution hierarchies of polygons and more recently of points are familiar and useful tools for achieving interactive rendering rates. We present an algorithm for tightly integrating the two into a single hierarchical data structure. The trade-off between rendering portions of a model with points or with polygons is made automatically. Our approach to this problem is to apply a bottom-up simplification process involving not only polygon simplification operations, but point replacement and point simplification operations as well. Given one or more surface meshes, our algorithm produces a hybrid hierarchy comprising both polygon and point primitives. This hierarchy may be optimized according to the relative performance characteristics of these primitive types on the intended rendering platform. We also provide a range of aggressiveness for performing point replacement operations. The most conservative approach produces a hierarchy that is better than a purely polygonal hierarchy in some places, and roughly equal in others. A less conservative approach can trade reduced complexity at the far viewing ranges for some increased complexity at the near viewing ranges. We demonstrate our approach on a number of input models, achieving primitive counts that are 1.3 to 4.7 times smaller than those of triangle-only simplification.;2001;http://dx.doi.org/10.1109/VISUAL.2001.964491;hybrid simplification combining multiresolution polygon point rendering;multiresolution hierarchies polygons recently points familiar useful tools achieving interactive rendering rates algorithm tightly integrating two single hierarchical structure tradeoff rendering portions model points polygons made automatically bottomup simplification process involving polygon simplification operations point replacement point simplification operations well one surface meshes algorithm produces hybrid hierarchy comprising polygon point primitives hierarchy may optimized according relative performance characteristics primitive types intended rendering platform provide range aggressiveness performing point replacement operations conservative produces hierarchy purely polygonal hierarchy places roughly equal others less conservative trade reduced complexity far viewing ranges increased complexity near viewing ranges demonstrate number input models achieving primitive counts times smaller triangleonly simplification
Multiresolution feature extraction for unstructured meshes;['feature extraction', 'multi-resolution model'];We present a framework to extract mesh features from unstructured two-manifold surfaces. Our method computes a collection of piecewise linear curves describing the salient features of surfaces, such as edges and ridge lines. We extend these basic techniques to a multiresolution setting which improves the quality of the results and accelerates the extraction process. The extraction process is semi-automatic, that is, the user is required to input a few control parameters and to select the operators to be applied to the input surface. Our mesh feature extraction algorithm can be used as a preprocessor for a variety of applications in geometric modeling including mesh fairing, subdivision and simplification.;2001;http://dx.doi.org/10.1109/VISUAL.2001.964523;multiresolution feature extraction unstructured meshes;framework extract mesh features unstructured twomanifold surfaces method computes collection piecewise linear curves describing salient features surfaces edges ridge lines extend basic techniques multiresolution setting improves quality results accelerates extraction process extraction process semiautomatic user required input control parameters select operators applied input surface mesh feature extraction algorithm preprocessor variety applications geometric modeling including mesh fairing subdivision simplification
Continuous topology simplification of planar vector fields;['simplification'];Vector fields can present complex structural behavior, especially in turbulent computational fluid dynamics. The topological analysis of these data sets reduces the information, but one is usually still left with too many details for interpretation. In this paper, we present a simplification approach that removes pairs of critical points from the data set, based on relevance measures. In contrast to earlier methods, no grid changes are necessary, since the whole method uses small local changes of the vector values defining the vector field. An interpretation in terms of bifurcations underlines the continuous, natural flavor of the algorithm.;2001;http://dx.doi.org/10.1109/VISUAL.2001.964507;continuous topology simplification planar vector fields;vector fields complex structural behavior especially turbulent computational fluid dynamics topological analysis sets reduces information one usually still left details interpretation simplification removes pairs critical points set based relevance measures contrast earlier methods grid changes necessary since whole method uses small local changes vector values defining vector field interpretation terms bifurcations underlines continuous natural flavor algorithm
Attribute preserving dataset simplification;['mesh simplification'];"The paper describes a novel application of feature preserving mesh simplification to the problem of managing large, multidimensional datasets during scientific visualization. To allow this, we view a scientific dataset as a triangulated mesh of data elements, where the attributes embedded in each element form a set of properties arrayed across the surface of the mesh. Existing simplification techniques were not designed to address the high dimensionality that exists in these types of datasets. In addition, vertex operations that relocate, insert, or remove data elements may need to be modified or restricted. Principal component analysis provides an algorithm-independent method for compressing a dataset's dimensionality during simplification. Vertex locking forces certain data elements to maintain their spatial locations; this technique is also used to guarantee a minimum density in the simplified dataset. The result is a visualization that significantly reduces the number of data elements to display, while at the same time ensuring that high-variance regions of potential interest remain intact. We apply our techniques to a number of well-known feature preserving algorithms, and demonstrate their applicability in a real-world context by simplifying a multidimensional weather dataset. Our results show a significant improvement in execution time with only a small reduction in accuracy; even when the dataset was simplified to 10% of its original size, average per attribute error was less than 1%.";2001;http://dx.doi.org/10.1109/VISUAL.2001.964501;attribute preserving dataset simplification;describes application feature preserving mesh simplification managing large multidimensional datasets scientific allow view scientific dataset triangulated mesh elements attributes embedded element form set properties arrayed across surface mesh simplification techniques designed high dimensionality exists types datasets addition vertex operations relocate insert remove elements may need modified restricted principal component analysis provides algorithmindependent method compressing datasets dimensionality simplification vertex locking forces certain elements maintain spatial locations technique guarantee minimum density simplified dataset result significantly reduces number elements display time ensuring highvariance regions potential interest remain intact techniques number wellknown feature preserving algorithms demonstrate applicability realworld context simplifying multidimensional weather dataset results significant improvement execution time small reduction accuracy even dataset simplified % original size average per attribute error less %
Simplification of tetrahedral meshes with accurate error evaluation;['mesh simplification'];The techniques for reducing the size of a volume dataset by preserving both the geometrical/topological shape and the information encoded in an attached scalar field are attracting growing interest. Given the framework of incremental 3D mesh simplification based on edge collapse, we propose an approach for the integrated evaluation of the error introduced by both the modification of the domain and the approximation of the field of the original volume dataset. We present and compare various techniques to evaluate the approximation error or to produce a sound prediction. A flexible simplification tool has been implemented, which provides a different degree of accuracy and computational efficiency for the selection of the edge to be collapsed. Techniques for preventing a geometric or topological degeneration of the mesh are also presented.;2000;http://dx.doi.org/10.1109/VISUAL.2000.885680;simplification tetrahedral meshes accurate error evaluation;techniques reducing size volume dataset preserving geometricaltopological shape information encoded attached scalar field attracting growing interest framework incremental mesh simplification based edge collapse propose integrated evaluation error introduced modification domain approximation field original volume dataset compare various techniques evaluate approximation error produce sound prediction flexible simplification tool implemented provides different degree accuracy computational efficiency selection edge collapsed techniques preventing geometric topological degeneration mesh presented
A topology simplification method for 2D vector fields;['flowvisualization', 'simplification'];Topology analysis of plane, turbulent vector fields results in visual clutter caused by critical points indicating vortices of finer and finer scales. A simplification can be achieved by merging critical points within a prescribed radius into higher order critical points. After building clusters containing the singularities to merge, the method generates a piecewise linear representation of the vector field in each cluster containing only one (higher order) singularity. Any visualization method can be applied to the result after this process. Using different maximal distances for the critical points to be merged results in a hierarchy of simplified vector fields that can be used for analysis on different scales.;2000;http://dx.doi.org/10.1109/VISUAL.2000.885716;topology simplification method vector fields;topology analysis plane turbulent vector fields results clutter caused critical points indicating vortices finer finer scales simplification achieved merging critical points prescribed radius higher order critical points building clusters containing singularities merge method generates piecewise linear representation vector field cluster containing one higher order singularity method applied result process different maximal distances critical points merged results hierarchy simplified vector fields analysis different scales
Simplification of surface annotations;['simplification'];Geometric models are often annotated to provide additional information during visualization. Maps may be marked with rivers, roads or topographical information, and CAD data models may highlight the underlying mesh structure. While this additional information may be extremely useful, there is a rendering cost associated with it. Texture maps have often been used to convey this information at relatively low cost, but they suffer from blurring and pixelization at high magnification. We present a technique for simplifying surface annotations based on directed, asymmetric tolerance. By maintaining the annotations as geometry, as opposed to textures, we are able to simplify them while still maintaining the overall appearance of the model over a wide range of magnifications. Texture maps may still be used to provide low-resolution surface detail, such as color. We demonstrate a significant gain in rendering performance while retaining the original appearance of objects from many application domains.;2000;http://dx.doi.org/10.1109/VISUAL.2000.885700;simplification surface annotations;geometric models often annotated provide additional information maps may marked rivers roads topographical information cad models may highlight underlying mesh structure additional information may extremely useful rendering cost associated texture maps often convey information relatively low cost suffer blurring pixelization high magnification technique simplifying surface annotations based directed asymmetric tolerance maintaining annotations geometry opposed textures able simplify still maintaining overall appearance model wide range magnifications texture maps may still provide lowresolution surface detail color demonstrate significant gain rendering performance retaining original appearance objects application domains
Simplified representation of vector fields;['flowvisualization', 'simplification'];Vector field visualization remains a difficult task. Many local and global visualization methods for vector fields such as flow data exist, but they usually require extensive user experience on setting the visualization parameters in order to produce images communicating the desired insight. We present a visualization method that produces simplified but suggestive images of the vector field automatically, based on a hierarchical clustering of the input data. The resulting clusters are then visualized with straight or curved arrow icons. The presented method has a few parameters with which users can produce various simplified vector field visualizations that communicate different insights on the vector data.;1999;http://dx.doi.org/10.1109/VISUAL.1999.809865;simplified representation vector fields;vector field remains difficult task local global methods vector fields flow exist usually require extensive user experience setting parameters order produce images communicating desired insight method produces simplified suggestive images vector field automatically based hierarchical clustering input resulting clusters visualized straight curved arrow icons presented method parameters users produce various simplified vector field visualizations communicate different insights vector
Progressive tetrahedralizations;['level-of-detail', 'multi-resolution', 'mesh simplification'];The paper describes some fundamental issues for robust implementations of progressively refined tetrahedralizations generated through sequences of edge collapses. We address the definition of appropriate cost functions and explain on various tests which are necessary to preserve the consistency of the mesh when collapsing edges. Although considered a special case of progressive simplicial complexes (J. Popovic and H. Hoppe, 1997), the results of our method are of high practical importance and can be used in many different applications, such as finite element meshing, scattered data interpolation, or rendering of unstructured volume data.;1998;http://dx.doi.org/10.1109/VISUAL.1998.745329;progressive tetrahedralizations;describes fundamental issues robust implementations progressively refined tetrahedralizations generated sequences edge collapses definition appropriate cost functions explain various tests necessary preserve consistency mesh collapsing edges although considered special case progressive simplicial complexes j popovic h hoppe results method high practical importance different applications finite element meshing scattered interpolation rendering unstructured volume
A unified approach for simplifying polygonal and spline models;['level-of-detail'];We present a new approach for simplifying models composed of polygons or spline patches. Given an input model, the algorithm computes a new representation of the model in terms of triangular Bezier patches. It performs a series of geometric operations, consisting of patch merging and swapping diagonals, and makes use of batch connectivity information to generate C-LODs (curved levels-of-detail). Each C-LOD is represented using cubic triangular Bezier patches. The C-LODs provide a compact representation for storing the model. The algorithm tries to minimize the surface deviation error and maintains continuity at patch boundaries. Given the CLODs, the algorithm can generate their polygonal approximations using static and dynamic tessellation schemes. It has been implemented and we highlight its performance on a number of polygonal and spline models.;1998;http://dx.doi.org/10.1109/VISUAL.1998.745313;unified simplifying polygonal spline models;simplifying models composed polygons spline patches input model algorithm computes representation model terms triangular bezier patches performs series geometric operations consisting patch merging swapping diagonals makes use batch connectivity information generate clods curved levelsofdetail clod represented cubic triangular bezier patches clods provide compact representation storing model algorithm tries minimize surface deviation error maintains continuity patch boundaries clods algorithm generate polygonal approximations static dynamic tessellation schemes implemented highlight performance number polygonal spline models
